Factor,λ̄ (×100),SE_NW (×100),t-stat,p-value,% Positive,T,Sig (5%)
intercept,0.0833,0.0294,2.836,0.0046,55.2,1283,***
momentum_20d,0.0504,0.0362,1.396,0.1631,50.1,1283,
volume_ratio,0.0025,0.0187,0.132,0.8953,49.6,1283,
rsi_14,-0.0064,0.0329,-0.195,0.8453,48.1,1283,
macd_signal,-0.0015,0.0186,-0.081,0.9351,48.6,1283,
foreign_net_buy,-0.0166,0.0196,-0.846,0.3975,47.7,1283,
trust_net_buy,-0.0113,0.0183,-0.617,0.5374,51.2,1283,
dealer_net_buy,0.0281,0.0166,1.697,0.09,53.2,1283,
