Factor,λ̄ (×100),SE_NW (×100),t-stat,p-value,% Positive,T,Sig (5%)
intercept,0.0832,0.0294,2.835,0.0047,55.2,1283,***
momentum_20d,0.0498,0.033,1.512,0.1308,51.3,1283,
volume_ratio,-0.0048,0.0154,-0.31,0.7566,46.6,1283,
rsi_14,-0.0103,0.027,-0.382,0.7022,48.6,1283,
macd_signal,-0.0101,0.0154,-0.652,0.5142,49.6,1283,
