year,month,monthly_return_pct
2019,10,0.5664062174211226
2019,11,2.458547706964276
2019,12,1.969075295885836
2020,1,-2.486531676338777
2020,2,-0.4287996736440758
2020,3,-5.714782999488177
2020,4,6.594740773829444
2020,5,0.10181568051816914
2020,6,2.1380965000556085
2020,7,0.4903095311916461
2020,8,0.38951503184541103
2020,9,-4.623727355689821
2020,10,-3.2725735600758643
2020,11,16.621195935313658
2020,12,3.0365608625927853
2021,1,-2.8138033426816755
2021,2,1.5595898765429883
2021,3,6.2227735842274035
2021,4,7.108458863709588
2021,5,-1.4955298332177014
2021,6,6.210652450203602
2021,7,1.102322762822383
2021,8,0.43031554308414766
2021,9,-1.7564677724156263
2021,10,3.437816676685479
2021,11,0.834473363512056
2021,12,4.103929895926339
2022,1,-1.7724259569447454
2022,2,0.7585519688781073
2022,3,3.815366808659304
2022,4,-2.0935998413982193
2022,5,-0.50052168707444
2022,6,-4.030730793360693
2022,7,5.658228565239853
2022,8,-0.3882023828943204
2022,9,-4.603984313787068
2022,10,4.532556728792492
2022,11,8.60106174954296
2022,12,-3.3303972755796996
2023,1,4.6950560162557275
2023,2,0.8304962639109847
2023,3,3.806925345328116
2023,4,1.9136945160875607
2023,5,0.3436292988730383
2023,6,4.607915498806192
2023,7,6.778801109767918
2023,8,-0.5719681150544553
2023,9,-2.248430199180662
2023,10,-0.8754427556974087
2023,11,3.552216901808003
2023,12,2.114225193793251
2024,1,1.209839656393985
2024,2,0.28858465061796235
2024,3,2.9416835202735747
2024,4,-0.7109011709071744
2024,5,1.789127609551433
2024,6,1.2605457572624879
2024,7,1.9470746739565614
2024,8,-1.4709125043726012
2024,9,-0.8908505368984243
2024,10,-0.04139073580569086
2024,11,1.9813494106091456
2024,12,-1.0105501811796258
2025,1,2.8150939854525436
2025,2,-0.5453823394049762
2025,3,-5.239016750722514
2025,4,-7.722062853063349
2025,5,-0.371969985560483
2025,6,1.3528501635407642
2025,7,4.602465317654336
2025,8,-1.1924934100353224
2025,9,5.679916088874237
2025,10,2.15496718923216
2025,11,1.7414348178495187
2025,12,0.03452328114448289
2026,1,6.181946191614385
2026,2,-0.3870729233362957
