date,2330.TW,2317.TW,2454.TW,2308.TW,2382.TW,2303.TW,2412.TW,2881.TW,2882.TW,2886.TW,1301.TW,1303.TW,2002.TW,2912.TW,2207.TW,6505.TW
2021-01-04,0.011193766686743878,0.041041071690354425,0.0063131721951832365,0.04339628349651803,0.04438955448979831,0.01756301842136687,0.004587273211390963,0.0021621158238731564,0.0011892281709871,-0.001672354533196585,-0.017580186322751157,-0.0056023246147173245,0.04208406244369112,0.013035418832727297,-0.0061919171338606915,-0.007999960388205829
2021-01-05,0.012915232947939614,0.009615269779956748,-0.006273566092165672,0.07775761707949203,-0.009445035651916012,0.012944939350109541,0.0,-0.016181047480234745,-0.013064245485109871,-0.013400252169558535,-0.006315900884972803,-0.004225349699000014,-0.019230630890810674,-0.003676509277247497,-0.020248881019586773,0.0030241892107503165
2021-01-06,0.029143953889507968,0.01904765856217283,0.008838484534444913,0.060402784446280666,0.0,-0.01597433289016703,-0.004566326225422523,0.01315787721693562,0.00842372311259898,0.010186609282499148,0.028601670092203824,0.011315521084144464,0.007843240733866441,0.0,0.00794884453103184,0.005025089842528363
2021-01-07,0.02654885621411962,0.00934585673168753,0.04881098033809517,-0.018987407367902165,0.008343139771640473,0.035714324788628904,0.009174377150707569,0.027056186739172983,0.022672983980381645,0.008403434806358634,0.009268912753267466,0.016783139981282336,0.011672905179777926,0.007380018892465756,0.01735017926429694,0.04000005805176743
2021-01-08,0.006896389070712106,-0.004629660224667598,0.015513184820799886,0.009677398409986937,0.003546158023653101,0.04493204365110803,0.009090805401278157,-0.0010538141308854554,-0.005834335530366275,0.001666780190679118,0.010204106378648437,0.023383797778311344,-0.003846161269273618,-0.007325953219301962,-0.0093023890703553,-0.01923079606682876
2021-01-11,0.011986222536429114,-0.03255809702433288,-0.0058754779690811665,0.0031948449990082395,0.0,-0.030999908207428595,0.0,0.007384032454132328,-0.007042221488890443,-0.009983545390875426,-0.014141540420664733,-0.010752597542202369,-0.023166068049334188,-0.009225090044786555,-0.0031297576374318403,-0.009803851821696408
2021-01-12,0.023688509328490648,0.024038352701899468,0.044917097051062393,-0.0047771143530508375,0.014134268832218355,0.031991646306329224,0.004504536700683515,0.011518299975013857,0.0023640553644519446,0.0016808701260782044,0.004098464674917146,0.005434736303318699,0.009881532678855942,0.001862250581622149,0.018838199527511756,0.009900918964119265
2021-01-13,-0.02148679860690106,0.08920195352705562,-0.026017938773762017,-0.020799939040119897,-0.005807198179854978,-0.001999925595448704,0.004484336840805847,0.003105680634383212,0.0023584797876579078,-0.0016780495427316522,-0.00612237055382181,0.002702743039447064,-0.009784843428757073,-0.009293811406961727,0.016949287796576673,0.0
2021-01-14,0.01520225220574778,-0.004310373414673441,-0.012775843553185284,-0.021241766488178437,-0.007009282932290417,-0.023046094112844417,-0.00892863467619509,-0.017543889329906914,-0.016470627123270964,-0.015125999486638952,-0.02977410331813468,-0.025606534792018132,-0.015810217883080457,-0.0018760912426265541,-0.02424251256360266,-0.02843138789334443
2021-01-15,0.0099831817825069,-0.012986938988423624,-0.007058888798786134,-0.03338909858603356,-0.021176579052444744,0.01846147242200069,0.0,-0.013655455686449325,-0.014354002108980746,-0.005119380064622203,-0.014814945934892854,-0.011064978178013662,-0.026104467886950866,-0.001879752932448464,-0.009316718809165847,-0.011099854758594319
2021-01-18,0.03294904639118901,0.0087718249801223,0.041469053696757685,0.015544186158324536,-0.0072114741286872786,0.0674722897392499,0.0,0.006389832962317321,0.003640818793279932,-0.0017152976390206742,0.0010740183100534928,0.002797048186395479,0.002061859742745753,-0.005649675758299222,0.0,0.012244880181124351
2021-01-19,0.03189792903446431,-0.004347774572458496,-0.007963392848052253,0.001700773221147589,-0.01694920586433335,-0.01698116806448602,-0.018017980580600668,-0.022222225077812463,-0.016928813765827222,-0.013745704174857654,-0.017167229596861677,-0.03347265533267252,-0.034979305088381096,0.007575769457450532,-0.04545452436991315,-0.04032255149624264
2021-01-20,0.040185411846261454,0.0218340441670819,0.07110091675216879,0.015280158637669627,0.002463178604795724,0.03646833330002375,-0.0045871885753537844,0.0,0.0,0.0,-0.0021834113427221524,0.0,0.006396503040094537,0.015037685070220519,0.008210073998121903,0.010504126512239198
2021-01-21,-0.035661082889957396,0.03846147752067752,-0.0182013455616018,-0.026756056997802924,0.012285067959690643,0.04629635436591806,0.0,0.001082129189718728,-0.002460013606760292,-0.0034842989066397045,-0.008752856246779683,-0.0014430905069630073,0.002118648163103698,-0.012963131997023924,-0.006514742761047132,-0.017671463522012543
2021-01-22,-0.024653561722418504,0.012345685605216428,-0.007633486780706633,0.015463826276183257,0.02305817633299978,0.0123892772923071,0.004608327844192184,0.024864824274510644,0.011097540084106905,0.008741247537185748,0.019867700672392852,0.015896057151335574,0.012685110342145034,0.003752452688867036,-0.004917824309842667,0.014814853627074465
2021-01-25,-0.025276403612134457,-0.00812998511140528,-0.042857206350040866,-0.021996436773275563,-0.015421167118683798,-0.04195798695969066,-0.0045871885753537844,-0.018987319882511344,-0.012195124832977244,-0.005199317323453911,-0.014069396399241207,-0.01137977083623598,-0.010438432249474716,-0.0018692795124044537,-0.014827056877050881,-0.02294064774379101
2021-01-26,-0.0032414698449380053,0.008196623538738956,0.029850858338144715,-0.00519024095877807,0.013252944150582646,0.0,0.004608327844192184,0.006451801182780104,0.0,0.0,-0.0032929924450511017,-0.005755346660082261,-0.006329317980258042,0.009363496764471346,0.0016721696312813616,0.0032017942147035683
2021-01-27,-0.022764077986908715,-0.036585234435645986,-0.031215223788041868,0.0,-0.01545772120556621,-0.06569347913252122,0.0,-0.0128205602244712,-0.00987655753363137,-0.0052264915113096055,-0.018722512195102348,-0.020260589363500392,-0.01061553913549651,0.0018552735653443175,-0.015024959151772377,-0.027659593984595054
2021-01-28,-0.016639159537611192,-0.05907180520770339,0.0069043535661204025,-0.017391363678704308,-0.025362367891962334,-0.02343741978693037,-0.00917429251467039,-0.014069256530986118,-0.004987508276574681,-0.014010507728973498,-0.023568979009626623,-0.031019250760908057,-0.0150214871670723,-0.011111294097581714,-0.03898314681030479,-0.025164045828314108
2021-01-29,0.033840841630753626,0.01345283800456043,0.034285838483245845,0.008849437294497164,0.02230475971716217,0.01599991022929137,0.009259239486179904,0.008781569334868289,0.0,0.017762055139123545,0.012643603648204937,0.016768329874173427,0.010893266757572295,0.011236142177841968,0.015873124611964995,0.01010089880197107
2021-02-01,0.03437010672859775,0.030973495607756307,0.028729293640615605,0.003508724678770392,0.025454597782929467,0.03543324832288364,0.0,0.028291605655123453,0.01002507711014089,0.001745146532742492,0.022701428370440757,0.03148430741511743,0.025862018960165045,0.003703609123652196,0.013888747061032491,0.015555596659746929
2021-02-02,-0.003164642664385764,0.0,0.020408274559622352,-0.0069927938664574585,0.01063847407095908,-0.011406995375661921,0.0,0.0074073441084892,0.0,0.003484385209339802,0.004439624365229822,0.0,-0.006302533088705986,-0.011070161197107353,-0.006849151067849557,0.0032822709081665735
2021-02-03,-0.00476176673215134,-0.021459132196933073,-0.004210534515866393,0.010563416445823481,-0.011695959056604699,-0.0019230055148256042,-0.00917429251467039,-0.010504167245721008,0.00992557248065995,0.0,0.0,0.0014534420041065754,-0.01902742440092997,0.003731450058285901,0.013792962250316565,-0.00545252371933469
2021-02-04,0.007974428522574906,-0.004386075105925924,0.004228338079294014,-0.02264813063265725,0.007100527563379089,0.019267885037036914,0.004629577033238741,-0.00424632199741104,-0.0024571100748178587,0.0,-0.007734724376396107,-0.005805534068042184,0.008620705758590974,-0.0037175781012631637,0.017006898374906765,0.0076754583033789014
2021-02-05,0.049050841768719655,0.0044053975102775755,0.031578872995630114,0.0677361140570909,0.04230303272702107,0.08884681877202039,0.0,0.042644042488171996,0.03325125973977627,0.02083337454311973,0.07126934923382788,0.021897796256284963,0.02564107312899333,0.007462832943753384,0.0,0.04243746049652586
2021-02-17,-0.004524957701438126,-0.008772068903919461,-0.0020408643528557757,0.021702771696706202,0.002254905542584673,0.010416630102307645,0.0,0.006135023028686071,0.005959621597689813,-0.005102134950420556,-0.0031185108227148595,0.009999949191326518,0.016666601723749785,-0.0148149032212338,-0.010033450815967515,0.008350688085862146
2021-02-18,-0.01212153883631839,-0.026548605057027164,-0.014314914030445935,-0.019607801602592234,-0.00787412676711341,-0.017182186693328383,0.004608327844192184,-0.002032784825740097,-0.008293972016166884,-0.003418782140261145,-0.006256437394544956,-0.007072109664133186,0.008196736636133517,-0.0037594381870235116,-0.0016893047711643572,0.004140721611811227
2021-02-19,-0.003067361655571199,0.00909096960820599,-0.013485437915871423,0.003333401942909431,-0.010203962556508794,-0.006992924186500549,-0.0045871885753537844,-0.0030548317159136973,0.004778834918079289,-0.0017152976390206742,0.018887576439015064,0.01994311908294577,-0.006097572282976804,0.0018867784816494204,0.005076239676780059,0.012371028226482395
2021-02-22,-0.013846374422393892,0.0045044507149611945,0.014721239860139734,0.006644427901882244,-0.0068728490245953955,-0.01760551285102052,0.009216740714451888,0.01634316522686574,0.015457892590450717,0.01546394911536808,0.026776587111032812,0.030726257348377528,0.03476470446106372,-0.0018832252527664073,0.033669971601965054,0.04887985884524482
