factor,label,mean_ic,std_ic,icir,t_nw,p_nw,se_nw,pct_positive,T,L
foreign_net_buy,FI,-0.010150266570380892,0.299222174787674,-0.03392217364098584,-1.2051054003172248,0.22837927190598273,0.008422721006568384,48.899012908124526,1317,7
trust_net_buy,IT,0.01817612778494327,0.2844283464872569,0.06390406585497485,2.375907541650377,0.017648327777401995,0.007650183126367612,52.54365983295368,1317,7
dealer_net_buy,DL,0.034620119802707995,0.2876815431646594,0.12034181762885145,4.423591889792887,1.0508203330372723e-05,0.007826246332215087,55.35307517084283,1317,7
