,dealer_net_buy,eps_growth,foreign_net_buy,macd_signal,momentum_20d,revenue_yoy,roa,roe,rsi_14,trust_net_buy,volume_ratio
2022-02-15,0.002549200543975616,0.01553456372392496,-7.18495243437478e-05,-0.0027100278283312407,-0.005567507304485926,0.0015279414907038436,0.011490300011601118,-0.00583149391951206,-0.0014921732720501457,-0.007067002122299585,-0.0026659243545049307
2022-02-16,-0.007881433229211662,-6.18951390368716e-05,0.0016923496521290917,0.008803576619754125,0.0009148869946736713,-0.0020703979216107615,-0.003742985135232857,0.0026869326556082465,0.005901887349856315,-0.006554320752243871,0.0019954975212547466
2022-02-17,-0.005580662645598459,-0.009518510303003483,0.0004308113569296834,0.003366544090784592,0.0036140335650452216,-0.004378966229960535,-0.004522204022467002,-0.0008930081598529926,-0.0053243168318657845,0.005807686508446671,-5.9454199339337155e-05
2022-02-18,-0.0017181295658008264,-0.0021994177690827605,-0.003127736539552478,0.0065138546292635895,0.008287087963256907,-0.0073660557217913505,-0.004604691618730432,0.012799977564287319,0.011226162646185468,0.00043976569653308983,-0.0003155245304393243
2022-02-21,-0.001491032595043601,-0.006258148357314253,0.003066627896669616,0.0010175758341773034,0.00010069518473666307,-0.00019983919459077605,-0.0008304333053477109,0.0013877553301423293,0.0032569342411185864,0.013960057565532072,0.007849390335388461
2022-02-22,-0.009328674858452568,-0.008591128123977573,-0.0012090930231832093,0.00238128628277066,0.0024052664997920763,0.004756182805733802,0.0017381760672162312,-0.006939637957658895,-0.0019969385676243214,-0.002855392598714951,-0.0004943124161168044
2022-02-23,0.0039838911836294795,-0.02403791508149028,-0.00457671529474311,0.0029359363794238917,-0.0030585619823186305,-0.008379099076460467,-0.02662648002367307,0.00221094696074468,-0.0014235019723836222,-0.001381727286699469,0.01956005445240505
2022-02-24,-0.00527140731180394,0.00845949050213296,0.005016764071647621,0.02194526778840495,0.02290122309904647,0.001566038521638502,0.0006675121774638217,0.00794726782451216,0.010221100327830811,-0.01908402908061661,-0.012739769076607529
2022-02-25,-0.0179754762110347,-0.01378459954161256,0.023133037375163756,0.009198846313242266,0.0024319686762118327,0.007888773230234274,-0.004615753438209006,-0.00701126708371928,0.0022018392213518263,0.005654990435971802,-0.03404068465055404
2022-03-01,0.003956994979683695,-0.010695991939513066,0.0019953817867571777,0.005743886032626998,0.005720661276208211,0.001545890495737473,-0.010755260838692363,-0.002783010980762335,0.005720661276208211,0.004272127097171739,-0.0034901154963370706
