,dealer_net_buy,eps_growth,foreign_net_buy,macd_signal,momentum_20d,revenue_yoy,roa,roe,rsi_14,trust_net_buy,volume_ratio
2021-01-07,-0.2647058823529412,,0.2441176470588235,,,,,,,-0.21239030460388722,
2021-01-08,0.33529411764705885,,-0.16764705882352943,,,,,,,0.2823529411764706,
2021-01-11,0.06181017125905231,,-0.2178072701509463,,,,,,,-0.02207506116394726,
2021-01-12,0.19117647058823528,,0.023529411764705882,,,,,,,0.7852941176470588,
2021-01-13,-0.3852941176470588,,0.5676470588235295,,,,,,,-0.49979704043076023,
2021-01-14,-0.07058823529411765,,-0.5,,,,,,,0.02941176470588235,
2021-01-15,0.049999999999999996,,-0.31176470588235294,,,,,,,-0.18529411764705883,
2021-01-18,0.1103753058197363,,0.035320097862315616,,,,,,,0.5636498950527866,0.3502576371346298
2021-01-19,0.3,,-0.2029411764705882,,,,,,,0.30882352941176466,0.4970588235294117
2021-01-20,0.5200142667050798,,0.2829707263266958,,,,,,,0.17481961102905813,0.48593925777568703
2021-01-21,-0.18823529411764706,,-0.044117647058823525,,,,,,,0.3029411764705882,-0.03823529411764706
2021-01-22,-0.31764705882352945,,0.10882352941176471,,,,,,,0.044117647058823525,-0.7352941176470589
2021-01-25,0.11470588235294117,,0.03529411764705882,,,,,,-0.2676470588235294,-0.2411764705882353,-0.023529411764705882
2021-01-26,-0.14749326708603278,,-0.18879138187012195,,,,,,0.2389390926793731,0.7286167394050018,0.3067859955389482
2021-01-27,0.5548198705872077,,-0.244297343547683,,,,,,-0.1427520621935256,0.09860193986563108,-0.4738779796527344
2021-01-28,0.004415012232789452,,-0.10882352941176471,,,,,,-0.02058823529411765,0.12352941176470587,0.2735294117647059
2021-01-29,0.05294117647058824,,-0.15882352941176472,,,,,,-0.0058823529411764705,0.4382352941176471,0.5588235294117647
2021-02-01,-0.4088235294117647,,0.27941176470588236,,,,,,0.10882352941176471,-0.19705882352941176,-0.35000000000000003
2021-02-02,0.16593047826486876,,-0.2622294165435872,,-0.017778265528378797,,,,-0.17778265528378798,0.09481741615135357,-0.005926088509459598
2021-02-03,0.2531273680132619,,-0.27520242917720916,,-0.22369395312799886,,,,-0.43267119881336624,-0.3590876616002087,0.19278886749847268
2021-02-04,-0.34705882352941175,,0.15294117647058825,,0.02058823529411765,,,,-0.0058823529411764705,-0.13856571322582598,0.011764705882352941
2021-02-05,0.5268581264462079,,0.05003680530494712,,0.09565859837710479,,,,0.06769685423610491,0.1780721600558412,-0.5504048583544183
2021-02-17,0.07352941176470588,,-0.19117647058823528,,-0.3029411764705882,,,,-0.06764705882352941,-0.3029411764705882,-0.055882352941176466
2021-02-18,0.1323529411764706,,-0.28823529411764703,,-0.6529411764705881,,,,-0.5470588235294118,0.08606776829170192,0.22352941176470587
2021-02-19,0.0029411764705882353,,0.3323529411764706,,-0.5735294117647058,,,,-0.7352941176470589,0.1176470588235294,0.10294117647058824
2021-02-22,-0.3970588235294118,,-0.15588235294117647,,-0.7529411764705882,,,,-0.5058823529411764,0.5823529411764706,0.6235294117647059
2021-02-23,0.1339220377279467,,-0.13686537921647302,,-0.17954383080010436,,,,-0.478292991885524,0.21633559940668312,0.5680649072855761
2021-02-24,-0.3764705882352941,,0.0058823529411764705,,0.07647058823529412,,,,0.2088235294117647,0.02647058823529412,-0.09117647058823529
2021-02-25,0.27058823529411763,,0.10294117647058824,,-0.19705882352941176,,,,0.11176470588235293,-0.12941176470588234,0.4852941176470588
2021-02-26,-0.3126857262223895,,-0.22713963131249046,,-0.061947172176133755,,,,-0.20354070857872522,-0.1592927284529154,-0.14749326708603278
2021-03-02,-0.411764705882353,,-0.29411764705882354,,-0.09999999999999999,,,,-0.4441176470588235,-0.2323529411764706,0.11176470588235293
2021-03-03,0.38557773499694536,,-0.04120678083936821,,0.5504048583544183,,,,0.3649743445772613,0.2413540020591567,0.1633554526132097
2021-03-04,0.34289928341331405,,0.057395159026262875,,0.07799854944594697,,,,0.1810155015443675,0.31346586852805103,0.03973511009510507
2021-03-05,0.04415012232789452,,0.2604857217345777,,0.7667404577611014,,,,0.538631492400313,0.22663729461652515,0.08388523242299958
2021-03-08,0.22941176470588234,,0.4764705882352941,,0.3529411764705882,,,,0.38823529411764707,0.008823529411764706,-0.4676470588235294
2021-03-09,0.16224259379463604,,-0.1533929977694741,0.05014771080925114,0.17404205516151866,,,,0.09439569093506098,-0.42773047454949503,-0.20354070857872522
2021-03-10,-0.27058823529411763,,-0.4941176470588235,-0.4705882352941176,-0.22058823529411767,,,,-0.45294117647058824,-0.6235294117647059,0.1264705882352941
