,dealer_net_buy,eps_growth,foreign_net_buy,macd_signal,momentum_20d,revenue_yoy,roa,roe,rsi_14,trust_net_buy,volume_ratio
2022-02-15,-0.0009507994560243836,0.00953456372392496,-0.0035718495243437474,-0.0037100278283312407,-0.005567507304485926,0.0015279414907038436,0.005490300011601118,-0.01183149391951206,-0.0032421732720501455,-0.009817002122299585,-0.00516592435450493
2022-02-16,-0.012881433229211661,-6.18951390368716e-05,-0.0008076503478709079,0.006303576619754126,0.0009148869946736713,-0.0020703979216107615,-0.003742985135232857,0.0026869326556082465,0.004151887349856315,-0.008804320752243872,0.00024549752125474673
2022-02-17,-0.011580662645598459,-0.009518510303003483,-0.0028191886430703164,0.002616544090784592,0.0028640335650452218,-0.004378966229960535,-0.004522204022467002,-0.0008930081598529926,-0.0063243168318657846,0.0033076865084466717,-0.002809454199339337
2022-02-18,-0.005968129565800825,-0.0021994177690827605,-0.006627736539552478,0.00476385462926359,0.006537087963256907,-0.0073660557217913505,-0.004604691618730432,0.012799977564287319,0.011226162646185468,-0.00206023430346691,-0.002065524530439324
2022-02-21,-0.007491032595043601,-0.006258148357314253,-0.0021833721033303844,-0.0007324241658226965,-0.0006493048152633369,-0.00019983919459077605,-0.0008304333053477109,0.0013877553301423293,0.0015069342411185866,0.011460057565532072,0.003599390335388462
2022-02-22,-0.01457867485845257,-0.008591128123977573,-0.004959093023183209,0.00163128628277066,0.0006552664997920765,0.004756182805733802,0.0017381760672162312,-0.006939637957658895,-0.0029969385676243214,-0.0053553925987149505,-0.004244312416116804
2022-02-23,0.0014838911836294799,-0.02403791508149028,-0.00957671529474311,0.0019359363794238917,-0.00480856198231863,-0.008379099076460467,-0.02662648002367307,0.00221094696074468,-0.003173501972383622,-0.0038817272866994686,0.016810054452405052
2022-02-24,-0.00952140731180394,0.00845949050213296,0.0007667640716476215,0.02194526778840495,0.02190122309904647,0.001566038521638502,0.0006675121774638217,0.00794726782451216,0.008471100327830812,-0.021584029080616608,-0.016989769076607528
2022-02-25,-0.0222254762110347,-0.01378459954161256,0.019633037375163757,0.007448846313242266,0.0014319686762118327,0.007888773230234274,-0.004615753438209006,-0.00701126708371928,0.0022018392213518263,0.003154990435971803,-0.037290684650554046
2022-03-01,-0.0010430050203163038,-0.010695991939513066,-0.001504618213242822,0.005743886032626998,0.004720661276208211,0.001545890495737473,-0.010755260838692363,-0.002783010980762335,0.003970661276208211,0.0007721270971717395,-0.00699011549633707
2022-03-02,0.002090618597098742,-0.0013418267583359307,0.0037893422499270185,-0.002730305939855006,-0.004161320280628582,0.006805921922204213,0.0003071718622170335,-0.004620165468158466,-0.0031080073043241443,-0.00016738811551619565,-0.0020421645206610325
2022-03-03,-0.007014269705751064,-0.02479466523817231,0.011859495554438514,0.013895488902633174,0.008491080640954978,-0.003493864154966145,-0.027428317251585583,0.002052896021683903,0.009491080640954977,0.012364175423752196,0.010159138033760184
2022-03-04,-0.02567014891555041,-0.040423924415875306,0.008928123335370606,0.022176632138799324,0.022465979252106978,0.0049817967319435545,-0.013228457508406732,-0.014165588878438645,0.02688606104373606,0.027939852922323358,0.0316711997349047
2022-03-07,-0.008877820441134839,-0.007855775804148406,0.008856449935924571,-0.004739204021607173,0.010344659409716062,-0.007893266583042218,-0.0020002486085971185,0.002130990618381585,-0.004627088482862204,-0.014532586956581058,0.0016381959478272085
2022-03-08,-0.01735729161147119,-0.0030530008086387395,0.0005638590537344187,0.00940199541926943,-0.011975715349004969,0.01726150835804226,0.0008896570176812517,-0.0027933833695548884,-0.0010749207987030074,-0.018085611568939466,-0.013772079976736802
2022-03-09,0.012502927759873793,0.029902901103815,-0.015799923184891398,-0.02807291590142442,-0.03781576074197696,-0.013531454645022182,0.0109112401691502,0.02094371021112355,-0.03763281724789059,-0.0076729567630196985,0.0016570426765231882
