,2330.TW,2317.TW,2454.TW,2308.TW,2382.TW,2303.TW,2412.TW,2881.TW,2882.TW,2886.TW,1301.TW,1303.TW,2002.TW,2912.TW,2207.TW,6505.TW
2021-01-04,0.01119446095195653,0.04104088612269363,0.00631306285627975,0.043396154759690164,0.0443896173169116,0.01756301842136687,0.004587103939316606,0.002162444165795252,0.0011892281709871,-0.001672188993639745,-0.017580091795456165,-0.005602193896575125,0.04208415771073293,0.013035418832727297,-0.006191916424704291,-0.008000045075486018
2021-01-05,0.012915040838159753,0.009615538871956986,-0.0062734581208367945,0.07775775005592322,-0.009445155397287075,0.012945048404205961,0.0,-0.016181305234360677,-0.013064130420149311,-0.013400334035436168,-0.006315996496095044,-0.0042254153324171595,-0.01923071861858927,-0.0036765754622243296,-0.020249109171956325,0.003024275269462695
2021-01-06,0.029143639881849204,0.019047656880699204,0.008838374921158687,0.060402669965543554,0.0,-0.015974438830790527,-0.004566158495693529,0.01315781064129129,0.00842360554241095,0.010186693387333134,0.028601670092203824,0.011315521084144464,0.007843151987501518,0.0,0.007949080715516033,0.005025089411379469
2021-01-07,0.02654867889905299,0.009345682667797117,0.04881098033809517,-0.018987193498408717,0.00834332246947711,0.03571421538046793,0.009174377150707569,0.0270562542280941,0.022672983980381645,0.008403434106716068,0.009268912753267466,0.016783139981282336,0.011673084755426055,0.007380085811923287,0.01734994384534727,0.03999996926671412
2021-01-08,0.006896623035262284,-0.004629488971910289,0.015513082132080802,0.009677287295787096,0.0035460973686136654,0.04493215403299855,0.009090805401278157,-0.001053686170940038,-0.005834335530366275,0.0016666974901535792,0.010204106378648437,0.023383862148962598,-0.003846161269273618,-0.007326019161849162,-0.009302275430446483,-0.01923079606682876
2021-01-11,0.011986222536429114,-0.032558352889705655,-0.005875478563209691,0.0031949539934472693,0.0,-0.0310001103937092,0.0,0.007383967460816709,-0.007042221488890443,-0.009983462965342582,-0.014141540420664733,-0.010752722665487657,-0.023166068049334188,-0.00922502422839322,-0.0031297576374318403,-0.009803935518013618
2021-01-12,0.02368885138436272,0.024038535238823933,0.04491730505527691,-0.004777113834030122,0.014134327999014262,0.03199186163612944,0.004504453589616819,0.011518235664702559,0.002364169885372469,0.0016807867294110768,0.004098464674917146,0.005434863815891644,0.009881532678855942,0.0018621835338965553,0.018838199527511756,0.009901004325989282
2021-01-13,-0.0214877938486967,0.08920195352705562,-0.026018130931425132,-0.02079993676941494,-0.005807434206991147,-0.0020000266885890072,0.004484337211832612,0.003105806342449613,0.00235836526738753,-0.0016779664257103866,-0.006122463827189062,0.002702553149105169,-0.009784843428757073,-0.009293678182727194,0.016949287796576673,0.0
2021-01-14,0.015202831718350795,-0.004310373414673441,-0.012775844830074545,-0.021241764119981354,-0.007009164718138727,-0.02304599515158101,-0.008928553042632847,-0.01754388713132682,-0.016470513141269905,-0.015125998227297877,-0.02977410611237319,-0.025606348813917656,-0.015810217883080457,-0.0018761586667938035,-0.02424251256360266,-0.028431304197027107
2021-01-15,0.00998329502329831,-0.012987019240414899,-0.0070588895134210405,-0.033389094782769524,-0.021176459163526618,0.018461576107265287,0.0,-0.013655581501295089,-0.014354116336265932,-0.005119464167259058,-0.014814947367912001,-0.011065042188588281,-0.026104467886950866,-0.0018796852545750475,-0.009316833694225646,-0.011099939947938786
2021-01-18,0.03294882436481861,0.008771907001280166,0.04146936380104549,0.015544184326566679,-0.00721153448674039,0.06747228287018148,0.0,0.006389768300983922,0.003640701214762343,-0.001715212668612076,0.0010742147805120617,0.0027971136373885486,0.0020619538013992855,-0.005649743180547118,0.0,0.012244880181124351
2021-01-19,0.031898150834950734,-0.004347774572458496,-0.007963684985576536,0.0017006569855158027,-0.016949204818801467,-0.016981261815855797,-0.018017980580600668,-0.0222222265056079,-0.01692869859706958,-0.013745788121274138,-0.017167424067445647,-0.03347271841639465,-0.034979395670152735,0.007575769457450532,-0.04545441367557845,-0.04032255149624264
2021-01-20,0.04018530769634543,0.0218340441670819,0.07110112113836475,0.015280042796399051,0.002463115700487961,0.036468527336769974,-0.0045871885753537844,0.0,0.0,0.0,-0.002183311770314722,0.0,0.006396503040094537,0.015037617392347213,0.008209952510481289,0.010504126512239198
2021-01-21,-0.035660986334260625,0.0384615567437967,-0.01820143601861801,-0.026755831854910483,0.012284942768562956,0.04629606488456339,0.0,0.0010821292608265143,-0.002460073191452694,-0.003484212603939718,-0.008752856246779683,-0.0014430905069630073,0.002118648163103698,-0.012962999510870432,-0.006514623047708223,-0.017671463522012543
2021-01-22,-0.024653665551370718,0.012345684663377376,-0.007633580622745106,0.015463707228729806,0.023058302856472812,0.012389546789576933,0.004608327844192184,0.024865022826638272,0.011097481015344579,0.008741160175706586,0.019867700672392852,0.01589612477772895,0.012685110342145034,0.003752452435385578,-0.0049179455983462406,0.014814853627074465
2021-01-25,-0.02527598048921731,-0.00813013521589101,-0.04285711583888585,-0.02199655222256036,-0.015421167118683798,-0.04195815628043731,-0.0045871885753537844,-0.01898738149779078,-0.012195067197815379,-0.005199317323453911,-0.014069396399241207,-0.01137983664692166,-0.010438527486300142,-0.0018693466849700746,-0.01482705868429035,-0.02294064774379101
2021-01-26,-0.0032417964246206354,0.008196776114032467,0.029850858338144715,-0.00519012352557735,0.013253066928396118,0.0,0.004608327844192184,0.006451604900292285,0.0,0.0,-0.0032929924450511017,-0.005755413994554259,-0.006329126106511929,0.009363429340066842,0.0016722935605471,0.0032017942147035683
2021-01-27,-0.022764187556017168,-0.03658538239578479,-0.031215223788041868,0.0,-0.015457779918481629,-0.06569329465598217,0.0,-0.012820497019191301,-0.009876617929674425,-0.005226318905909633,-0.018722512195102348,-0.020260523011380593,-0.0106157318162311,0.001855273689274517,-0.01502489739385926,-0.027659593984595054
2021-01-28,-0.016639049281755525,-0.05907173160802304,0.0069043535661204025,-0.01739148234046073,-0.025362427868419024,-0.023437612606787006,-0.009174207878633323,-0.014069126033429136,-0.0049873880752077104,-0.014010678810209232,-0.023568979009626623,-0.031019250760908057,-0.015021488637580682,-0.01111122816319321,-0.038983207066036196,-0.025164139231202642
2021-01-29,0.033840841630753626,0.013452921135546081,0.034285740136784204,0.008849559125159168,0.0223049491327576,0.01599991022929137,0.009259153275563481,0.00878156874958802,0.0,0.017761967150224267,0.012643603648204937,0.016768258536577818,0.010893367226812778,0.011236074753437464,0.015872994125226025,0.010100995583742778
2021-02-01,0.034369996442159545,0.030973411039602272,0.028729391458734987,0.0035088443814408343,0.025454531305671768,0.0354331488217523,0.0,0.02829147164886847,0.010024955700747684,0.001745233136934532,0.022701428370440757,0.03148437978520735,0.025861920644557168,0.00370360937059111,0.013888813068955841,0.015555596659746929
2021-02-02,-0.0031646430018058558,0.0,0.020408089697876663,-0.006992971958509897,0.01063835233372501,-0.011406804279545546,0.0,0.007407537336774128,0.0,0.0034842989066397045,0.004439624365229822,0.0,-0.0063024378556454375,-0.011070029074071841,-0.006849278190039221,0.003282177505278039
2021-02-03,-0.004761874201808514,-0.02145921176006782,-0.004210535278665883,0.010563477142357058,-0.011696018650507956,-0.001923005327900018,-0.009174207878633323,-0.010504293462534675,0.009925573673756904,0.0,0.0,0.0014534420041065754,-0.01902742440092997,0.003731315462006224,0.013793156232569936,-0.005452338032296722
2021-02-04,0.007974537708737683,-0.004385994154609607,0.004228338848558,-0.022648190066898,0.007100467692371604,0.01926778576826882,0.004629491218086645,-0.00424632199741104,-0.0024571698787596574,0.0,-0.007734724376396107,-0.005805534068042184,0.008620607442983097,-0.0037174445038498094,0.017006772548407545,0.007675363977189376
2021-02-05,0.04905095362045664,0.00440531584415127,0.03157905988112519,0.06773630061076052,0.04230327728884653,0.08884681877202039,0.0,0.042643913027633484,0.03325144466513286,0.02083337633485316,0.07126934923382788,0.021897796256284963,0.02564107562836493,0.0074626980968262036,0.0,0.04243736760181904
2021-02-17,-0.004525059337917581,-0.008771907001280277,-0.002040776543529854,0.021702769224600793,0.002254905283523234,0.010416717856769342,0.0,0.006135147956075393,0.0059593906448871525,-0.005102051132392482,-0.0031185108227148595,0.009999949191326518,0.01666669834614143,-0.01481483753378432,-0.010033452057329972,0.008350688830016884
